Autor,Název práce,Studijní program,Typ práce,Rok,Obhájeno,Vedoucí,Oponent
Bc. Petr Bachmann,Informační systém pro elektronické vzdělávání,Aplikovaná informatika,Mgr.,2011,1,Ing. Karel Hladík,RNDr. Jakub Lokoč
Bc. Jan Douša,Jak vytvořit novou HW infrastrukturu podniku - Konsolidace HW infrastruktury,Aplikovaná informatika,Mgr.,2011,1,Ing. Luboš Klejšmíd,doc. RNDr. Ondřej Čepek
Bc. Miroslav Filip,Modernizace informačního systému pro obchodování na Burze cenných papírů Praha,Aplikovaná informatika,Mgr.,2011,1,Ing. Jan Smolík,RNDr. Martin Pergel
Bc. Ondřej Hanuš,Využití metodiky řízení projektu při návrhu a vývoji IS,Aplikovaná informatika,Mgr.,2011,1,Ing. Jan Bartoš,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Lukáš Hronec,Služba automatizovaného generování elektrického obchodu,Aplikovaná informatika,Mgr.,2011,1,Ing. Jan Smolík,Mgr. Miroslav Novotný
Bc. Tomáš Chaloupka  DiS.,Analýza možnoti zlepšení IS,Aplikovaná informatika,Mgr.,2011,1,RNDr. Jan Lánský,Ing. David Chudán
Bc. Radim Kindl,Umělá inteligence a její aplikace v počítačových hrách,Aplikovaná informatika,Mgr.,2011,1,prof. Ing. Petr Berka,Mgr. Pavel Vávra
Bc. Josef Kulhavý  DiS.,Analýza a  návrh webových stránek kalendária,Aplikovaná informatika,Mgr.,2011,1,Ing. David Chudán,RNDr. Martin Pergel
Bc. Jaroslav Mařík,CMS pro úspěšný web,Aplikovaná informatika,Mgr.,2011,1,RNDr. Jan Lánský,RNDr. Martin Pergel
Bc. Petr Mazálek,Interpolace vrstevnic nad polyedrickým modelem terénu,Aplikovaná informatika,Mgr.,2011,1,Ing. Tomáš Bayer,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Lucie Němečková  DiS.,Workflow - Document Management System,Aplikovaná informatika,Mgr.,2011,1,doc. RNDr. Ing. Jaroslav Klvaňa,prof. Ing. Petr Berka
Bc. Tomáš Palír,Informační systém pro plánování lidských zdrojů,Aplikovaná informatika,Mgr.,2011,1,RNDr. Helena Palovská,RNDr. Jan Lánský
Bc. Martin Petříček,Všeobecná analýza  truhlářského provozu pro zavedení informačního systému,Aplikovaná informatika,Mgr.,2011,1,Ing. Jan Smolík,doc. RNDr. Ondřej Čepek
Bc. Ondřej Skokánek,Návrh a implementace jednoduchého statistického programu,Aplikovaná informatika,Mgr.,2011,1,doc. Ing. Diana Bílková,RNDr. Jakub Lokoč
Bc. Tomáš Slinták,Testování informačních systémů - teorie a praxe  V-modelu,Aplikovaná informatika,Mgr.,2011,1,Ing. Vítězslav Bolek,prof. Ing. Petr Berka
Bc. Zdeněk Sloupenský,Projekt bezpečnostního monitoringu informačních systémů,Aplikovaná informatika,Mgr.,2011,1,RNDr. Helena Palovská,RNDr. Petr Tesař
Bc. Zdeněk Šilhán,Komponenta IS - elektronická karta pacienta,Aplikovaná informatika,Mgr.,2011,1,Ing. Jan Smolík,doc. RNDr. Ing. Jaroslav Klvaňa
Bc. Jiří Šustr,Databázové návrhové vzory pro evidence a řešení problémů,Aplikovaná informatika,Mgr.,2011,1,RNDr. Helena Palovská,RNDr. Jakub Lokoč
Bc. Václav Švára,Vylepšení aplikačního řešení on-line obchodu,Aplikovaná informatika,Mgr.,2011,1,Ing. Jan Smolík,RNDr. Martin Pergel
Bc. Jaroslav Tajbl,Dokument management systém pro platformu Windows mobile,Aplikovaná informatika,Mgr.,2011,1,doc. RNDr. Ing. Jaroslav Klvaňa,Mgr. Jaromír Malenko
Michael Vašíček,Funkční model sběrnice pro testování rozhraní SCI,Aplikovaná informatika,Mgr.,2011,1,RNDr. Jan Lánský,doc. RNDr. Ondřej Čepek
Bc. Jana Vebr,Projekt Technologické centrum a elektronická spisová služba pro obce,Aplikovaná informatika,Mgr.,2011,1,doc. RNDr. Ing. Jaroslav Klvaňa,prof. Ing. Petr Berka
Bc. Jiří Vošta,Návrh informačního systému pro Lead Management,Aplikovaná informatika,Mgr.,2011,1,doc. RNDr. Ing. Jaroslav Klvaňa,Mgr. Pavel Vávra
